ID,MainType,Responsibility,Date,Y,X
1,Israel,IDF,7/30/2024,33.37215,35.44081
2,Israel,IDF,7/30/2024,33.853056,35.506389
3,Israel,IDF,7/29/2024,33.16995,35.52261
4,Israel,IDF,7/28/2024,33.1268302,35.2193727
5,Israel,IDF,7/28/2024,33.26384293,35.24217908
6,Israel,IDF,7/28/2024,33.2782093,35.5546943
7,Israel,IDF,7/28/2024,33.33024,35.61704
8,Israel,IDF,7/28/2024,33.29989713,35.287874
9,Terrorists,Hezbollah,7/27/2024,33.26578723,35.76874239
10,Israel,IDF,7/27/2024,33.2782093,35.5546943
11,Israel,IDF,7/27/2024,33.3489735,35.7495456
12,Israel,IDF,7/27/2024,33.2543923,35.5428653
13,Israel,IDF,7/27/2024,33.16995,35.52261
14,Israel,IDF,7/26/2024,33.23355,35.51721
15,Israel,IDF,7/26/2024,33.09871,35.33689
16,Israel,IDF,7/26/2024,33.32795308,35.69272855
17,Israel,IDF,7/26/2024,33.20999,35.51795
18,Israel,IDF,7/26/2024,33.3489735,35.7495456
19,Israel,IDF,7/26/2024,33.35561973,35.66733052
20,Israel,IDF,7/25/2024,33.24878738,35.51741076
21,Israel,IDF,7/25/2024,33.11665215,35.47162733
22,Israel,IDF,7/25/2024,33.09871,35.33689
23,Israel,IDF,7/25/2024,33.12696423,35.25521315
24,Israel,IDF,7/24/2024,33.1268302,35.2193727
25,Israel,IDF,7/24/2024,33.2782093,35.5546943
26,Israel,IDF,7/24/2024,33.3498294,35.27735804
27,Israel,IDF,7/24/2024,33.2543923,35.5428653
28,Israel,IDF,7/24/2024,33.16995,35.52261
29,Israel,IDF,7/24/2024,33.12696423,35.25521315
30,Israel,IDF,7/24/2024,33.34322459,35.67830917
31,Israel,IDF,7/24/2024,33.33024,35.61704
32,Israel,IDF,7/23/2024,33.19408274,35.4679434
33,Israel,IDF,7/22/2024,33.33024,35.61704
34,Israel,IDF,7/22/2024,33.09871,35.33689
35,Israel,IDF,7/22/2024,33.11043,35.38158
36,Israel,IDF,7/22/2024,33.15381,35.329-00
37,Israel,IDF,7/22/2024,33.263492,35.543092
38,Israel,IDF,7/22/2024,33.12661,35.2565
39,Israel,IDF,7/21/2024,33.1084,35.44788
40,Israel,IDF,7/21/2024,33.08099,35.42542
41,Israel,IDF,7/21/2024,33.09871,35.33689
42,Israel,IDF,7/21/2024,33.34162,35.61881
43,Israel,IDF,7/21/2024,33.09871,35.33689
44,Israel,IDF,7/21/2024,33.08048,35.42473
45,Israel,IDF,7/21/2024,33.10425,35.18161
46,Israel,IDF,7/21/2024,33.11887,35.1401
47,Israel,IDF,7/21/2024,33.11671,35.47282
48,Israel,IDF,7/21/2024,33.20999,35.51795
49,Israel,IDF,7/21/2024,33.2094,35.51696
50,Israel,IDF,7/21/2024,33.10648,35.2322
51,Israel,IDF,7/20/2024,33.238982,35.369743
52,Israel,IDF,7/20/2024,33.40426,35.27482
53,Israel,IDF,7/20/2024,33.33024,35.61704
54,Israel,IDF,7/20/2024,33.11644,35.4709
55,Israel,IDF,7/20/2024,33.2088336,35.5161761
56,Israel,IDF,7/20/2024,33.2912476,35.4998423
57,"Israel ",IDF,7/20/2024,33.23355,35.51721
58,Israel,IDF,7/20/2024,33.2775,35.62328
59,Israel,IDF,7/20/2024,33.2088336,35.5161761
60,"Israel ",IDF,7/20/2024,33.23355,35.51721
61,"Israel ",IDF,7/20/2024,33.32513,35.56595
62,Israel,IDF,7/20/2024,33.2088336,35.5161761
63,Israel,IDF,7/20/2024,33.2088336,35.5161761
64,Terrorists,Hamas,7/20/2024,33.08230467,35.2821111
65,Israel,IDF,7/20/2024,33.2912476,35.4998423
66,Israel,IDF,7/20/2024,33.1163838,35.4691815
67,Israel,IDF,7/19/2024,33.1384408,35.5173932
68,Israel,IDF,7/19/2024,33.16995,35.52261
69,Israel,IDF,7/19/2024,33.2775,35.62328
70,Israel,IDF,7/19/2024,33.1268302,35.2193727
71,"Israel ",IDF,7/19/2024,33.16995,35.52261
72,Israel,IDF,7/19/2024,33.2088336,35.5161761
